DAY_NUM,DAY,SLOT1,SLOT2,SLOT3,SLOT4,SLOT5,SLOT6
0,0,69,92,293,368,353,1
1,1,90,120,96,69,29,109
2,2,87,32,116,1,89,121
3,3,96,69,1,89,121,96
4,4,69,1,91,119,93,70
5,5,127,177,175,199,113,37
6,6,114,104,247,327,336,239
7,0,292,264,349,164,258,247
8,1,140,159,195,100,167,237
9,2,202,173,32,89,113,107
10,3,147,160,124,27,19,120
11,4,255,271,260,269,244,200
12,5,182,196,169,187,101,153
13,6,209,236,342,210,232,319
14,0,282,200,166,105,136,169
15,1,196,76,96,56,108,102
16,2,146,190,233,189,52,16
17,3,154,84,127,193,206,177
18,4,215,354,151,237,197,141
19,5,95,187,162,297,286,157
20,6,150,96,34,31,188,155
21,0,77,51,44,64,13,80
22,1,105,42,27,43,65,62
23,2,207,107,168,284,427,464
24,3,319,280,521,324,311,287
25,4,310,284,342,326,422,298
26,5,341,348,399,316,274,403
27,6,331,302,329,390,487,360
28,0,404,520,412,382,455,481
29,1,484,169,297,280,156,150
30,2,97,35,30,217,128,80
31,3,53,43,57,13,80,105
32,4,42,29,53,57,89,193
33,5,114,162,284,291,161,149
34,6,100,34,32,190,153,77
35,0,51,44,64,13,82,104
36,1,41,27,42,66,62,207
37,2,109